state,model,mae,rmse,mape
Nevada,XGBoost,4142676.512499988,4961458.353109119,3.9669832442141306
Nevada,LightGBM,5642606.988310771,7710814.411561931,5.374065385628979
Nevada,LSTM,12496126.80485531,12774199.893367834,12.050875153745265
New Hampshire,SARIMA,1367352.8620130233,1908446.7140086805,2.403862472393021
New Hampshire,Prophet,3669795.163445848,3914944.1201777495,6.480310429158209
New Hampshire,XGBoost,1340947.6499999985,1641666.698205787,2.3552339155993107
New Hampshire,LightGBM,2063434.4997365326,2329163.794957347,3.641895163445656
New Hampshire,LSTM,6120022.921889692,6222573.311946961,10.808756690403174
New Mexico,SARIMA,2610031.1189628188,3460864.2629995854,3.483480858389995
New Mexico,Prophet,3472273.319392722,4075317.4308034466,4.644510471758545
New Mexico,XGBoost,5434157.325000009,6379052.827330249,7.272035159076537
New Mexico,LightGBM,5815503.283398183,6558437.237729056,7.799096488048562
New Mexico,LSTM,7053017.122332705,7254451.907603612,9.478717040077303
New York,SARIMA,10709477.31095533,14032160.064945325,2.4141810659500433
New York,Prophet,20347590.824897684,23076519.66270912,4.596040562552213
New York,XGBoost,7494021.537500009,10627797.559824165,1.676389287365671
New York,LightGBM,16778102.83080508,19414327.632042795,3.7749881553860116
New York,LSTM,6377775.25738515,9778579.226327607,1.4172893773243898
North Carolina,SARIMA,9293786.55781579,12402060.199694315,2.526850795528188
North Carolina,Prophet,15542116.03185863,19150534.227405418,4.236983055924516
North Carolina,XGBoost,15529972.549999997,18450788.81821003,4.236661854839962
North Carolina,LightGBM,10731281.529981583,15499238.840642946,2.90835528160742
North Carolina,LSTM,16837470.983800814,18582365.888327345,4.600240994264682
Ohio,SARIMA,9707843.264947169,13699359.493222388,2.5433553479276205
Ohio,Prophet,15453108.61040122,18340872.684535757,4.063133367482083
Ohio,XGBoost,12484303.062500007,14514898.95750021,3.286302774602898
Ohio,LightGBM,12216803.165279083,16967246.484678384,3.1899678374017943
Ohio,LSTM,19456736.71306113,20910628.99568171,5.127763936482394
Oklahoma,SARIMA,3044859.7508154176,4565732.721194253,2.0191150027879563
Oklahoma,Prophet,5726391.604333736,6514072.775527948,3.797328902184126
Oklahoma,XGBoost,12299876.812499981,13435248.573086653,8.154171346307306
Oklahoma,LightGBM,5050335.294114355,5728800.860954194,3.346685540327063
Oklahoma,LSTM,4018548.273701016,4028342.668799415,2.664638191771225
Oregon,SARIMA,3930383.693547249,4445222.277744065,3.3250593330292304
Oregon,Prophet,8536551.6186584,8991488.786964698,7.222156301458521
Oregon,XGBoost,8817606.050000008,9626197.113441203,7.462300020518435
Oregon,LightGBM,6974816.750978619,9259134.654639278,5.908521371928259
Oregon,LSTM,1299421.488059057,1655050.583607364,1.1008389845299151
Pennsylvania,SARIMA,8770512.671937801,11284956.836198153,2.3810731137702215
Pennsylvania,Prophet,12084451.89473264,14379762.6820629,3.2762118633994657
Pennsylvania,XGBoost,7271878.024999939,9143506.394440088,1.9636554937223893
Pennsylvania,LightGBM,9954774.78608314,13141777.502775708,2.6855105001895754
Pennsylvania,LSTM,3596287.2012982145,6338769.127122279,0.9588336074380535
Rhode Island,SARIMA,532471.7281609979,767279.5868025463,1.964433803527901
Rhode Island,Prophet,1354503.9818108948,1493239.7273782645,4.996715980826476
Rhode Island,XGBoost,447054.49999999674,533168.1054057875,1.649161302473992
Rhode Island,LightGBM,595885.318572436,635014.4947778477,2.198105726117119
Rhode Island,LSTM,907771.028654438,998464.7518887408,3.3480559303120647
South Carolina,SARIMA,4660440.444697276,6695964.662868978,2.3226380838502356
South Carolina,Prophet,9040457.674830303,10562669.794380147,4.52373183973505
South Carolina,XGBoost,9312015.549999986,10782355.868941942,4.65812367047442
South Carolina,LightGBM,12145473.650327612,14056705.689210992,6.0733547350772135
South Carolina,LSTM,11424569.213529292,11956819.199003791,5.724038155439681
South Dakota,SARIMA,697326.5636859802,932590.814141276,2.412125997772568
South Dakota,Prophet,2214260.494460362,2283513.17815602,7.662374600096336
South Dakota,XGBoost,660109.0000000005,724471.9168864732,2.2841845931956173
South Dakota,LightGBM,1459115.1701436634,1679714.5137075724,5.0503038690545425
South Dakota,LSTM,2431924.803060587,2449733.828254781,8.41387118143701
Tennessee,SARIMA,6158031.6566325165,8376845.165722423,2.3245382528572454
Tennessee,Prophet,7868644.91555129,9414593.5383815,2.9677603668773602
Tennessee,XGBoost,10137746.83750002,11894354.69963022,3.8250933689098425
Tennessee,LightGBM,8431985.980217159,11346063.39266476,3.1680853917815472
Tennessee,LSTM,33198439.934137657,33552856.9321163,12.565008030346148
Texas,SARIMA,29442639.339351833,42292338.25637042,3.1888350485036874
Texas,Prophet,34321672.81152229,43659294.927665874,3.726292909784286
Texas,XGBoost,18959416.33749996,23478391.16403057,2.0819640632405583
Texas,LightGBM,59604217.12344879,72285793.27050322,6.497742975330542
Texas,LSTM,50477695.50869292,57065412.56670297,5.504803017156195
Utah,SARIMA,2098613.423324719,3099203.160094721,2.456566976642239
Utah,Prophet,4415096.721899489,5014311.6192449825,5.1971611578918315
Utah,XGBoost,2127438.137500001,2910015.39534194,2.482527137556378
Utah,LightGBM,3314044.069451321,3965806.187938745,3.8900747505575866
Utah,LSTM,7337560.043046737,7602389.936521378,8.659756576117102
Vermont,SARIMA,453954.25757624675,564820.8849581045,2.4891975679413085
Vermont,Prophet,852066.6351743122,942598.3151177387,4.6736236896555186
Vermont,XGBoost,175892.45000000065,212342.19029769037,0.9632586550364197
Vermont,LightGBM,244572.4985098024,280980.51320483454,1.340254802867014
Vermont,LSTM,1099684.9430789999,1135050.0289114255,6.029349574839793
Virginia,SARIMA,5665006.731400862,8210646.359519436,1.8980743786896397
Virginia,Prophet,10046425.150182106,12138281.06607423,3.3747512812805116
Virginia,XGBoost,18836141.4,21089330.909228627,6.340080709891256
Virginia,LightGBM,8554846.93458815,10573463.877887487,2.8723271379469364
Virginia,LSTM,6366875.664045587,7022463.486840748,2.1636458018164233
Washington,SARIMA,5690128.0091868825,6914065.798489941,2.9933664299108345
Washington,Prophet,11198494.075315185,12033669.24262879,5.894419742172695
Washington,XGBoost,12310681.812500007,13618148.608799467,6.480693190552662
Washington,LightGBM,12801217.080784176,15521337.886209775,6.7315932547331006
Washington,LSTM,19674440.714467313,19833568.712795008,10.353364489411659
West Virginia,SARIMA,2220967.040536264,2667290.657158321,2.8316140026455496
West Virginia,Prophet,3960848.9073175956,4260287.704050153,5.049692255569888
West Virginia,XGBoost,6012657.374999991,6757636.037454701,7.665767964566301
West Virginia,LightGBM,5926925.427318191,6563303.376463397,7.557198787676028
West Virginia,LSTM,8033059.656513302,8060825.721769222,10.242039418260672
Wisconsin,SARIMA,2812088.100518044,4336387.3010652885,1.7666799423733928
Wisconsin,Prophet,8598638.69259812,9161828.940578682,5.395824759967603
Wisconsin,XGBoost,4454925.774999995,5449401.418741934,2.788501447425811
Wisconsin,LightGBM,7031704.035061821,9105926.104720809,4.400387575115965
Wisconsin,LSTM,1169331.0380890183,1475980.854025456,0.7347182028211334
Wyoming,SARIMA,1068239.371091879,1157163.3640478146,5.0027282220862554
Wyoming,Prophet,1283494.9148940928,1422728.6221946084,6.015826492195628
Wyoming,XGBoost,258880.67500000214,437548.10554192937,1.1986734264096794
Wyoming,LightGBM,1164806.2281764266,1291550.0978645126,5.460553303750718
Wyoming,LSTM,347414.70755037153,438635.8472831841,1.6179123777613282
